Required Concepts
"(u'paraphernalia', u'3')"
"(u'agitation', u'2')"
"(u'convulsions', u'3')"
"(u'pain severity', u'3')"
"(u'homicidal thoughts', u'3')"
"(u'vomiting', u'2')"
"(u'decreased mental status', u'2')"
"(u'rebound tenderness', u'3')"
"(u'last known well', u'3')"
"(u'anxiety', u'1')"
"(u'pain chest wall', u'2')"
"(u'pale', u'3')"
"(u'weakness', u'3')"
"(u'dysuria', u'3')"
"(u'rigidity', u'3')"
"(u'bradycardia', u'2')"
"(u'constipation', u'3')"
"(u'vaginal bleeding', u'3')"
"(u'combative', u'3')"
"(u'tachycardia', u'3')"
"(u'rash', u'1')"
"(u'tripoding', u'3')"
"(u'decreased visual acuity', u'2')"
"(u'myalgias', u'2')"
"(u'shortness of breath', u'2')"
"(u'abdominal pain', u'3')"
"(u'hypertension', u'1')"
"(u'tachypnea', u'3')"
"(u'vaginal discharge', u'2')"
"(u'palpitations', u'2')"
"(u'headache', u'2')"
"(u'tonic-clonic', u'3')"
"(u'pain region', u'2')"
"(u'anxiety', u'2')"
"(u'confusion', u'2')"
"(u'baseline neurological status', u'3')"
"(u'malaise', u'2')"
"(u'cool skin', u'3')"
"(u'absent femoral pulses', u'1')"
"(u'hypotension', u'3')"
"(u'confusion', u'3')"
"(u'dizziness', u'2')"
"(u'hypotension', u'2')"
"(u'chest pain', u'3')"
"(u'seizure', u'3')"
"(u'hypothermia', u'3')"
"(u'fever', u'3')"
"(u'agitated delirium', u'3')"
"(u'unequal femoral pulses', u'1')"
"(u'dizziness', u'1')"
"(u'suicidal thought', u'2')"
"(u'pregnancy', u'3')"
"(u'decreased mental status', u'3')"
"(u'seizure', u'2')"
"(u'agitation', u'3')"
"(u'incontinence', u'3')"
"(u'hypoxemia', u'3')"
"(u'chest tightness', u'2')"
"(u'trauma', u'3')"
"(u'loss of consciousness', u'3')"
"(u'hyperglycemia', u'3')"
"(u'blindness', u'2')"
"(u'post-ictal', u'3')"
"(u'clammy skin', u'3')"
"(u'cough', u'1')"
"(u'diarrhea', u'3')"
"(u'vomiting', u'3')"
"(u'violent', u'3')"
"(u'hypertension', u'3')"
"(u'pain radiation', u'3')"
"(u'weakness', u'2')"
"(u'wheezing', u'3')"
"(u'hypertension', u'2')"
"(u'bizarre behavior', u'2')"
"(u'hypoglycemia', u'3')"
"(u'rhonchi', u'3')"
"(u'pain jaw', u'2')"
"(u'cough', u'3')"
"(u'pin point pupils', u'3')"
"(u'diaphoresis', u'3')"
"(u'use of accessory muscles', u'3')"
"(u'nausea', u'2')"
"(u'delusional thoughts', u'2')"
"(u'rales', u'3')"
"(u'diaphoresis', u'2')"
"(u'sleepiness', u'2')"
"(u'tachycardia', u'2')"
"(u'distension', u'3')"
"(u'tenderness', u'2')"
"(u'hallucinations', u'3')"
"(u'nausea', u'3')"
"(u'abuse of substance', u'3')"
"(u'shortness of breath', u'3')"
"(u'lightheadedness', u'2')"
"(u'hyperthermia', u'2')"
"(u'chest pressure', u'3')"
"(u'bradypnea', u'3')"
"(u'mental status changes', u'3')"
"(u'fever', u'2')"
"(u'substance abuse history', u'3')"
"(u'dysrhythmia', u'2')"
