Required Concept,CUI,Preferred Name
midazolam,C1351678,Midazolam 2 MG/ML Oral Solution
,C1126025,Midazolam 2 MG/ML
,C2920420,2 ML Midazolam 1 MG/ML Prefilled Syringe
,C3500195,2 ML Midazolam 1 MG/ML Cartridge
,C4048415,2 ML Midazolam 1 MG/ML Injection
,C0358428,Midazolam 2 MG/ML Injectable Solution
,C3857257,2 ML Midazolam 5 MG/ML Prefilled Syringe
,C0978647,Midazolam 1 MG/ML Injectable Solution
,C3502910,Midazolam 2 MG/ML Prefilled Syringe
,C3853826,1 ML Midazolam 5 MG/ML Prefilled Syringe
,C4048764,2 ML Midazolam 5 MG/ML Injection
,C4048417,5 ML Midazolam 1 MG/ML Injection
,C0978649,Midazolam 5 MG/ML Injectable Solution
,C2980829,1 ML Midazolam 2 MG/ML Prefilled Syringe
,C4048767,1 ML Midazolam 5 MG/ML Injection
,C4048414,Midazolam Hydrochloride 1 MG/ML includes Injectable Solution and Injection
,C4048995,Midazolam 1 MG/ML includes Prefilled Syringe & Cartridge
,C3853824,"Midazolam 5 MG/ML includes Injectable Solution, 1 & 2 ML Prefilled Syringe"
,C4271053,Midazolam Hydrochloride/Sodium Chloride 2 MG/1 ML-0.9% Intravenous Solution
,C4718880,midazolam/ketamine HCl/ondansetron HCl 3 mg-25 mg-2 mg SUBLINGUAL TROCHE
,C4719128,ketamine/midazolam/ondansetron 25 mg-3 mg-2 mg sublingual tablet
,C4762530,MIDAZOLAM 3 mg / KETAMINE HYDROCHLORIDE 25 mg / ONDANSETRON HYDROCHLORIDE ANHYDROUS 2 mg SUBLINGUAL TROCHE [MKO Melt Dose Pack]
paraphernalia,C0680329,drug paraphernalia
,C1337622,INTRAPERITONEAL ADMIN.SETS-PARAPHERNALIA
,C1337623,INFUSION SETS-PARAPHERNALIA
,C3841868,Drug paraphernalia at scene
,C3841869,Alcohol containers/paraphernalia at scene
,C0776682,dialysis (peritoneal) kits MISCELL INTRAPERITONEAL ADMIN.SETS-PARAPHERNALIA
,C0776984,hypodermoclysis set-needles MISCELL INFUSION SETS-PARAPHERNALIA
,C0776989,intravenous administration set MISCELL INFUSION SETS-PARAPHERNALIA
,C0777003,intravenous administration extension set MISCELL INFUSION SETS-PARAPHERNALIA
,C0777007,intravenous piggyback administration set MISCELL INFUSION SETS-PARAPHERNALIA
,C0777008,intravenous administration extension set with filter MISCELL INFUSION SETS-PARAPHERNALIA
,C0777014,intravenous catheter MISCELL INFUSION SETS-PARAPHERNALIA
,C0777038,intravenous catheter kit MISCELL INFUSION SETS-PARAPHERNALIA
,C0777053,intravenous infusion pump accessory MISCELL INFUSION SETS-PARAPHERNALIA
,C0777058,intraveous administration set with filter MISCELL INFUSION SETS-PARAPHERNALIA
,C2342218,infusion set for insulin pump MISCELL INFUSION SETS-PARAPHERNALIA
,C0776990,"intravenous administration set 21 gauge X 3/4"" MISCELL INFUSION SETS-PARAPHERNALIA"
,C0776991,"intravenous administration set 23 gauge X 3/4"" MISCELL INFUSION SETS-PARAPHERNALIA"
,C0776992,"intravenous administration set 25 gauge X 3/4"" MISCELL INFUSION SETS-PARAPHERNALIA"
,C0777015,"intravenous catheter 24 gauge X 3/4"" MISCELL INFUSION SETS-PARAPHERNALIA"
,C1876688,subcutaneous administration set 10 mm X 100 cm SUBCUT INFUSION SETS-PARAPHERNALIA
,C1876689,subcutaneous administration set 10 mm X 110 cm SUBCUT INFUSION SETS-PARAPHERNALIA
,C1876690,subcutaneous administration set 10 mm X 50 cm SUBCUT INFUSION SETS-PARAPHERNALIA
,C1876691,subcutaneous administration set 10 mm X 60 cm SUBCUT INFUSION SETS-PARAPHERNALIA
,C1876692,subcutaneous administration set 10 mm X 70 cm SUBCUT INFUSION SETS-PARAPHERNALIA
agitation,C0085631,Agitation
,C1963060,"Agitation, CTCAE 3.0"
,C4552855,"Agitation, CTCAE 5.0"
,C0235010,Muscular unrest
,C0235844,Neonatal agitation
,C0302807,Agitation mental
,C0424295,Hyperactive behavior
,C0476482,Restlessness and agitation
,C0542200,Restlessness (phenothiazine)
,C0549254,Agitation aggravated
,C0700075,Motor restlessness
,C0740827,AGITATION EXTREME
,C0858249,Increased agitation
,C0860611,Physically restless
,C0865301,Catatonic agitation
,C0865302,Schizophrenia agitation
,C0877432,Nocturnal agitation
,C0919572,Agitation postoperative
,C0920253,Emergence Delirium
,C1271077,No psychomotor agitation
,C2585388,Level of agitation
,C2712004,Reduced Agitation
,C3639389,HAMD-17 - Agitation
,C3640500,HAMD-21 - Agitation
,C3887611,Restlessness
convulsions,C0036572,Seizures
,C4048158,Convulsions
,C0009952,Febrile Convulsions
,C0013537,Eclampsia
,C0014544,Epilepsy
,C0014549,Tonic-Clonic Epilepsy
,C0014556,"Epilepsy, Temporal Lobe"
,C0022333,Jacksonian Seizure
,C0159020,Convulsions in the newborn
,C0234533,Generalized seizures
,C0234535,Clonic Seizures
,C0234540,Uremic convulsion
,C0234549,Stress seizure
,C0234975,Convulsions aggravated
,C0235097,Withdrawal seizures
,C0270844,Tonic Seizures
,C0349245,Dissociative convulsions
,C0476204,convulsions; infantile
,C0490011,Other convulsions
,C0595982,Febrile Convulsion Medications
,C0751127,Concussive Convulsion
,C0751494,Convulsive Seizures
,C0751495,"Seizures, Focal"
,C0809992,Epilepsy; convulsions
,C0849771,pregnancy convulsions
pain severity,C1507013,Pain severity
,C4085211,Pain Distress Question
,C1971428,Pain severity quantified; pain present (COA) (ONC)
,C1971429,Pain severity quantified; no pain present (COA) (ONC)
,C1508023,pain severity reported
,C1508029,Pain severity:Score:Pt:^Patient:Qn:Reported.visual analog score
,C1508030,Pain severity.total:Score:Pt:^Patient:Qn:Observed.FLACC
,C1508031,Pain severity.face:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508032,Pain severity.legs:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508033,Pain severity.activity:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508034,Pain severity.cry:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508035,Pain severity.consolability:Find:Pt:^Patient:Ord:Observed.FLACC
,C2073281,chest pain increasing in severity
,C2233590,severity of flank pain
,C2367760,pain severity quantified
,C2735093,Pain severity descriptive category:Arbitrary:Point in time:^Patient:Ordinal
,C2735094,Pain severity descriptive category
,C2736105,Pain severity:Find:Pt:^Patient:Ord:Reported.FPS-R
,C2737163,Pain severity in last 5D
,C3173431,Pain severity:Score:Pt:^Patient:Qn:PhenX
,C3539022,pelvic pain decreasing in severity
,C3539889,pelvic pain increasing in severity
,C3641836,Average Severity of Pain
,C3642057,GCGI - Global Severity of Pain
,C3829851,HAQ-DI With VAS - Severity of Pain in the Past Week
diazepam,C4281829,2 ML Diazepam 5 MG/ML Auto-Injector
,C4764484,2 ML Diazepam 5 MG/ML Prefilled Syringe
,C2346398,4 ML Diazepam 5 MG/ML Rectal Gel
homicidal thoughts,C0455204,Homicidal thoughts
,C1948150,expresses suicidal/homicidal thoughts
vomiting,C0042963,Vomiting
,C1963281,"Vomiting, CTCAE"
,C3898969,Have Been Vomiting
,C4084766,How Much Distress Vomiting
,C4084767,Bothered by Vomiting
,C4084768,Usual Severity Vomiting
,C4084769,How Often Vomiting
,C0375548,No vomiting
,C2129186,vomit containing blood at beginning of vomiting
,C0014498,Epidemic vomiting syndrome
,C0018926,Hematemesis
,C0027498,Nausea and vomiting
,C0042964,"Vomiting, Anticipatory"
,C0152164,Cyclical vomiting syndrome (disorder)
,C0152165,Persistent vomiting
,C0152517,Viral gastroenteritis
,C0221151,Projectile vomiting
,C0232597,Acute vomiting
,C0232598,Chronic vomiting
,C0232599,Vomiting bile
,C0232601,Concealed vomiting
,C0233757,Psychogenic vomiting
,C0241706,Feculent vomiting
,C0267172,Habit vomiting
,C0269661,Vomiting of pregnancy
decreased mental status,C0746541,MENTAL STATUS ALTERED RESPONSIVENESS DECREASED
,C4713693,"Monitor for signs/symptoms of hypovolemic shock (e.g., increased thirst, increased HR, increased SVR, decreased urine output, decreased bowel sounds, decreased peripheral perfusion, altered mental status, or altered respirations)"
dexamethasone,C1129328,Dexamethasone 3 MG/ML
,C2683203,{21 (Dexamethasone 1.5 MG Oral Tablet) } Pack
,C2977976,Dexamethasone 3 MG/ML [Dexium]
,C1735666,{35 (Dexamethasone 1.5 MG Oral Tablet) } Pack
,C2725026,Dexamethasone 3 MG/ML Injectable Solution
,C2977977,Dexamethasone 3 MG/ML Injectable Solution [Dexium]
,C5145271,3-Alpha-Androstanediol glucuronide^pre dose dexamethasone
,C2955011,Dexamethasone sodium phosphate 4 MG/ML Injectable Solution
,C0976120,Dexamethasone 1 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension
,C1329113,Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Suspension
,C1589766,Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML [Ciprodex]
,C1603670,Dexamethasone 1 MG/ML / Tobramycin 3 MG/ML [Tobradex]
,C2684385,Dexamethasone 0.5 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension
,C2706774,Cortisol^3D post dose dexamethasone:SCnc:Pt:Ser/Plas:Qn
,C2735926,3-Alpha-Androstanediol glucuronide^pre dose dexamethasone:SCnc:Pt:Ser/Plas:Qn
,C2938017,Dexamethasone 0.5 MG/ML / Tobramycin 3 MG/ML [Tobradex]
,C4282340,1 ML Dexamethasone phosphate 4 MG/ML Prefilled Syringe
,C4734218,1 ML Dexamethasone phosphate 10 MG/ML Prefilled Syringe
,C5145266,3-Alpha-Androstanediol glucuronide^1D post dose dexamethasone
,C5145268,3-Alpha-Androstanediol glucuronide^2D post dose dexamethasone
,C5223099,cortisol in serum or plasma 3 days post dose dexamethasone
,C0710428,Dexamethasone 1 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension [Tobradex]
,C0710438,Dexamethasone 0.001 MG/MG / Tobramycin 0.003 MG/MG Ophthalmic Ointment [Tobradex]
,C0888262,"dexamethasone 21-phosphate, copper (+2) salt (2:3), (11beta,16alpha)-isomer"
,C1329835,Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Suspension [Ciprodex]
last known well,C2729240,Iv t-pa initiated within three hours (<= 180 minutes) of time last known well
,C2729241,Iv t-pa not initiated within three hours (<= 180 minutes) of time last known well for reasons documented by clinician
,C2729242,"Iv t-pa not initiated within three hours (<= 180 minutes) of time last known well, reason not given"
abdominal pain,C0000737,Abdominal Pain
,C0423651,No abdominal pain
,C4554323,"Abdominal Pain, CTCAE 5"
,C1394864,"severe; abdominal pain, abdominal rigidity"
,C0000727,"Abdomen, Acute"
,C0000729,Abdominal Cramps
,C0151263,nausea or abdominal pain
,C0232488,Abdominal colic
,C0232491,Chronic abdominal pain
,C0232492,Upper abdominal pain
,C0232493,Epigastric pain
,C0232495,Lower abdominal pain
,C0234246,Rebound tenderness
,C0235299,Right upper quadrant pain
,C0238548,abdominal pain radiating to back
,C0238551,Left lower quadrant pain
,C0238552,Left upper quadrant pain
,C0241310,Suprapubic pain
,C0262419,CHRONIC RUQ ABDOMINAL PAIN
,C0262527,Intermittent abdominal pain
,C0262528,INTERMITTENT LLQ ABDOMINAL PAIN
,C0277969,Abdominal pain through to back
,C0277970,Abdominal pain worse on motion
,C0344304,Generalized abdominal pain
,C0400882,Chronic nonspecific abdominal pain
epinephrine,C1125084,Epinephrine 2 MG/ML
,C0703986,Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution
,C0711064,Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution [Xylocaine with Epinephrine]
,C1269685,Epinephrine 0.002 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution
,C1585692,1.7 ML Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge [Octocaine with Epinephrine]
,C3887542,1 ML Epinephrine 1 MG/ML Injection
,C3888320,1.8 ML Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge
,C3888321,Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge
,C4281984,20 ML Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injection
,C0711071,20 ML Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injection [Xylocaine with Epinephrine]
,C3465043,1.8 ML Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge
,C3465044,1.7 ML Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge
,C0711072,1.7 ML Epinephrine 0.02 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge [Xylocaine with Epinephrine]
,C2701316,Epinephrine Hydrochloride/Sodium Chloride 2 MG/250 ML-0.9% Intravenous Solution
,C3888121,1.7 ML Epinephrine 0.01 MG/ML / Lidocaine Hydrochloride 20 MG/ML Cartridge [Xylocaine with Epinephrine]
,C4055647,30 ML Bupivacaine Hydrochloride 5 MG/ML / Epinephrine 0.005 MG/ML Injection [Sensorcaine with Epinephrine]
,C4055650,10 ML Bupivacaine Hydrochloride 5 MG/ML / Epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine]
,C4282205,Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injection [Xylocaine with Epinephrine]
,C4306161,10 ML Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injection [Xylocaine with Epinephrine]
,C4306163,30 ML Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 15 MG/ML Injection [Xylocaine with Epinephrine]
,C4306165,30 ML Epinephrine 0.005 MG/ML / Lidocaine Hydrochloride 10 MG/ML Injection [Xylocaine with Epinephrine]
,C4306167,30 ML Bupivacaine Hydrochloride 2.5 MG/ML / Epinephrine 0.005 MG/ML Injection [Sensorcaine with Epinephrine]
,C4306170,10 ML Bupivacaine Hydrochloride 2.5 MG/ML / Epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine]
,C0358664,Epinephrine 2 MG/ML / Guanethidine 10 MG/ML Ophthalmic Solution
,C0360026,Epinephrine 0.0125 MG/ML / Lidocaine Hydrochloride 20 MG/ML Injectable Solution
pain chest wall,C0008035,Chest wall pain
,C0476278,Anterior chest wall pain
,C0742354,CHEST WALL PAIN MUSCULOSKELETAL
,C0742355,CHEST WALL PAIN PLEURITIC
,C1963056,"Chest Wall Pain, CTCAE 3.0"
,C4553184,"Chest Wall Pain, CTCAE 5.0"
,C0742356,CHEST WALL PAIN SYNDROME CHRONIC
,C1557431,"Grade 1 Chest Wall Pain, CTCAE"
,C1557432,"Grade 2 Chest Wall Pain, CTCAE"
,C1557433,"Grade 3 Chest Wall Pain, CTCAE"
,C1557434,"Grade 4 Chest Wall Pain, CTCAE"
,C2231402,anterior wall chest pain with respiration
,C2073293,chest pain localizing to chest wall in center
,C2073294,chest pain localizing to chest wall in center anteriorly
,C2073295,chest pain localizing to chest wall in center posteriorly
,C2073296,chest pain localizing to chest wall on left
,C2073297,chest pain localizing to chest wall on left anteriorly
,C2073298,chest pain localizing to chest wall on left laterally
,C2073299,chest pain localizing to chest wall on left posteriorly
,C2073300,chest pain localizing to chest wall on right
,C2073301,chest pain localizing to right anterior chest wall
,C2073302,chest pain localizing to chest wall on right laterally
,C2073303,chest pain localizing to right posterior chest wall
,C2073304,chest pain localizing to deep within chest wall
pale,C0030232,Pallor
,C0554991,Pale color
,C0678215,Patient observed to be pale
,C1971630,Pale color saturation
,C0232720,Pale feces (finding)
,C0241137,Pallor of skin
,C0328496,Lycodes pallidus
,C0328978,Apogon planifrons
,C0330417,Kalmia polifolia
,C0333550,Anemic infarct
,C0427826,Urine: pale
,C0452464,Pale ale
,C0566707,Placenta pale
,C0684912,Pallor of lung
,C0685934,Pallor of liver
,C0686533,Pallor of spleen
,C0857342,Looked pale
,C0877384,Pale lips
,C0937908,Echinacea pallida preparation
,C0998705,Strongylocentrotus pallidus
,C1006176,Turdus pallidus
,C1037910,Ptereleotris heteroptera
,C1300201,Pale red color
,C1337309,pale catechu
,C1643318,Litoria pallida
diazepam,C0992253,Diazepam 1 MG/ML
,C0976330,Diazepam 5 MG/ML Injectable Solution
,C4281823,2 ML Diazepam 5 MG/ML Cartridge
,C0976328,Diazepam 1 MG/ML Oral Solution
,C0976329,Diazepam 5 MG/ML Oral Solution
,C1309116,"ECI2 protein, human"
,C1422782,ECI2 gene
,C3810519,ECI2 wt Allele
,C4281828,"Diazepam 5 MG/ML includes Injectable Solution, Cartridge & Auto-Injector"
,C2346394,0.5 ML Diazepam 5 MG/ML Rectal Gel
,C4281829,2 ML Diazepam 5 MG/ML Auto-Injector
,C4764484,2 ML Diazepam 5 MG/ML Prefilled Syringe
,C5203202,{1 (0.1 ML) (Diazepam 100 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 10 MG Dose Kit]
,C5228600,diazepam 10 MG in 0.1 mL Nasal Spray Dose Kit
,C5228602,diazepam 5 MG in 0.1 mL Nasal Spray Dose Kit
,C0355032,Diazepam 10 MG Rectal Suppository
,C0355713,Diazepam 5 MG/ML Injectable Suspension
,C0361043,Diazepam 0.5 MG/ML Oral Suspension
,C0361044,Diazepam 2 MG/ML Oral Suspension
,C0542885,Diazepam 0.4 MG/ML Oral Solution
,C0688559,Diazepam 10 MG Oral Tablet
,C0688561,Diazepam 2 MG Oral Tablet
,C0688562,Diazepam 5 MG Oral Tablet
,C1351925,Diazepam 4 MG/ML Enema
,C1351926,Diazepam 2 MG/ML Enema
glucagon,C0611807,"glucagon, thiol-Trp(2)"
,C0912332,Glucagon-Like Peptide 2
,C1333664,GCG gene
,C0061362,"glucagon, 2-nitro-4-azidophenylsulfenyl-"
,C1415106,GLP2R gene
,C1705879,GCG wt Allele
,C3864918,GLP-2 Analog
,C3864927,Glucagon-like Peptide-2 (GLP-2) Antagonists
,C3864928,Glucagon-like Peptide-2 (GLP-2) Agonists
,C4019291,Glucagon-Like Peptide-2 Receptor
,C1121637,glucagon-like peptide-2 (3-33)
,C1530889,teduglutide
,C1953226,Somatotropin^2H post dose glucagon:ACnc:Pt:Ser/Plas:Qn
,C3657884,"GLP2R protein, human"
,C3864926,Glucagon-like Peptide-2 (GLP-2) Receptor Interactions
,C4042749,"Glp2r protein, rat"
,C4042750,"Glp2r protein, mouse"
,C4760375,Substance with glucagon-like peptide 2 receptor agonist mechanism of action (substance)
,C4760376,Glucagon-like peptide 2 receptor agonist (disposition)
,C5195834,Glucagon 3 MG Nasal Powder
,C0611810,"S-glucagon dimer, Trp-"
,C0617204,"glucagon, Met-sulfoxide(27)-"
,C0617735,"glucagon, di-(delta-(5-nitro-2-pyrimidyl)Orn)(17,18)-"
,C1953225,Somatotropin^2H post dose betaxolol+glucagon:ACnc:Pt:Ser/Plas:Qn
,C1953229,Somatotropin^2H post dose propranolol+glucagon:ACnc:Pt:Ser/Plas:Qn
weakness,C3714552,Weakness
,C0018801,Heart failure
,C0030552,Paresis
,C0151786,Muscle Weakness
,C0232132,Weak arterial pulse
,C0241700,Voice Fatigue
,C0424593,Attacks of weakness
,C0426997,Weakness of sternomastoid
,C0427053,Weakness present
,C0427054,Weakness of neck
,C0427055,Facial Paresis
,C0427062,Weakness of back
,C0427068,Monoparesis - leg
,C0497294,paralysis/weakness
,C0521532,Diaphragmatic paresis
,C0542267,Weakness postural
,C0546190,Palate weakness
,C0546192,Larynx weakness
,C0575810,Weakness of hand
,C0576233,Weakness of foot
,C0576333,Weakness of toe
,C0577655,Quadriceps weakness
,C0581877,Abdominal weakness
,C0587246,Muscle weakness of limb
,C0679397,cardiovascular deterioration
normal saline,C2229560,serum aldosterone measurement after 2 liters of normal saline over 4 hours
,C2236112,nursing care: intravenous therapy administration flush intravenous cap D5W 1/2 normal saline solution
dysuria,C0013428,Dysuria
